danceability,energy,tempo,popularity,track_name,artist_name
1.1609381266199228,0.7521113018986857,0.9998654916625248,2.9474369160550395,APT.,ROSÉ
-0.653451148428809,-0.19995695060259389,1.3101575320513072,3.506274401913878,Die With A Smile,Lady Gaga
-1.2558850874098333,-1.660459557842776,-1.1960874486107136,1.2709244584785249,Satu Bulan,Bernadya
-1.1637481320362648,-0.6784834021215613,0.4730422130690908,0.29295885822555784,Masing Masing,Ernie Zakri
-1.234622713092856,0.09912208159676113,0.3406250327823995,0.29295885822555784,Serana,For Revenge
-0.7810253943306731,-0.10026393986947554,-1.2234314575378396,1.1312150870138153,"Untungnya, Hidup Harus Tetap Berjalan",Bernadya
-1.5322959535305385,-0.9376852300276687,-1.4531835934597954,0.7120869726196866,Kata Mereka Ini Berlebihan,Bernadya
-2.5883272112737457,-1.386303778326701,1.8021761901448594,0.8517963440843961,Aku Yang Jatuh Cinta,Dudy Oris
-1.107048467190992,-0.010540230209669038,-1.0480897353185916,-0.6850067420274092,Nina,.Feast
-0.14315416482135357,-0.24481880543249712,0.7560249450496901,-0.26587862763328046,Sialan,Adrian Khalif
-0.14315416482135357,-1.7202753642826472,0.26268766723630205,0.5723776011549769,Runtuh,Feby Putri
-1.1353982996136285,-1.097194047200658,-1.428893230199658,0.4326682296902674,Bunga Abadi,Rio Clappy
-0.33451553367414966,1.2605456566375886,0.5136418202324626,0.4326682296902674,Duka,Last Child
0.9483143834501493,-0.6236522462183463,-0.5286576672600276,3.087146287519749,BIRDS OF A FEATHER,Billie Eilish
-0.17859145534964915,-1.600643751402905,-1.1864407043445446,0.5723776011549769,Lantas,Juicy Luicy
-0.5400518187382632,-1.6754135094527438,-1.04330106370445,0.5723776011549769,Apa Mungkin,Bernadya
-0.6463636903231499,-1.3713498267167332,-0.005686146269271609,0.5723776011549769,Pesan Terakhir,Lyodra
-1.9433685236587668,-1.4959660901331309,2.940422612514892,0.7120869726196866,Gala bunga matahari,Sal Priadi
-2.148904808722881,-0.4741127301186687,-1.8272204871469664,0.5723776011549769,Lama-Lama,Bernadya
-0.21402874587794474,-0.7382992085614324,1.0322410758363942,0.4326682296902674,Kini Mereka Tahu,Bernadya
-1.0857860928740146,-1.2716568159836148,1.724030621485103,0.013540115296138676,Tampar,Juicy Luicy
0.7569530145973532,0.7670652535086534,-0.14507813086351687,0.4326682296902674,Rumah Ke Rumah,Hindia
-2.559977378851109,0.9714359255115455,-0.9107103808230436,0.15324948676084824,Seandainya,Vierra
-0.5046145282099677,-0.3943583215321741,0.5450110893569836,0.5723776011549769,Bawa Dia Kembali,Mahalini
0.3387929863634662,0.08416812998679338,0.16483220381689162,-0.1261692561685709,Tunggu Apa Lagi,Nyoman Paul
0.41675502552571647,-0.5588517892418193,-0.0073517711785382285,2.1091806872667824,Night Changes,One Direction
-0.5754891092665588,-1.0174396386141633,-1.2238825642840994,0.15324948676084824,Nanti Kita Seperti Ini,Batas Senja
-0.7597630200136958,-0.9675931332476042,0.3235870779813608,0.4326682296902674,Tak Segampang Itu,Anggi Marito
-1.0078240537117649,-2.4978808480009693,-0.04743087055776477,0.29295885822555784,Bertaut,Nadin Amizah
-1.0078240537117649,-0.7133759558781527,-0.04795137834191059,0.013540115296138676,Keras Kepala,Meiska
-1.7378322385946527,-1.047347541834099,-0.10548483874949292,0.29295885822555784,Sampai Menutup Mata,Mahalini
-0.7385006456967185,-1.3613805256434213,1.2348574059448822,-0.40558799909799004,penjaga hati,Nadhif Basalamah
-0.3841277404137627,-1.9744925416520986,0.755226833114,0.29295885822555784,Kembali Pulang,Suara Kayu
-0.5187894444212858,-1.3015647192035504,-1.36004740061664,0.29295885822555784,Lampu Kuning,Juicy Luicy
-0.5967514835835361,0.85678896316846,-0.21572838743157335,-0.26587862763328046,Jakarta Hari Ini,For Revenge
-1.7874444453342666,-0.25478810650580896,-1.4096344421862632,0.15324948676084824,Selamat (Selamat Tinggal),Virgoun
0.26791840530687505,-1.3364572729601418,1.1326296771386473,0.15324948676084824,L,Hal
-0.26364095261755854,1.0113131298047928,1.034219005416148,1.2709244584785249,It Will Rain,Bruno Mars
-1.0574362604513783,-1.43615028369326,1.9952845780629507,0.15324948676084824,Interaksi,Tulus
-1.227535254987197,-1.211841009543744,-0.11707481207647283,0.29295885822555784,Mati-Matian,Mahalini
-0.2990782431458541,0.05426022676685788,0.13058279162009825,-0.40558799909799004,Rahasia Hati,Nidji
-1.170835590141924,-0.857930821441174,1.653137461284446,0.013540115296138676,Tak Di Tanganku,Juicy Luicy
0.8490899699709217,0.7670652535086534,-0.35598788499939465,2.1091806872667824,Moonlit Floor (Kiss Me),LISA
-0.5613141930552406,-0.8479615203678622,-1.1162068540038048,0.15324948676084824,Monokrom,Tulus
-1.170835590141924,-2.0193543964820018,-1.4614770174871847,-0.1261692561685709,Rumah Singgah,Fabio Asher
-0.029754835130807743,1.6643023501067173,-0.6315100054072373,0.013540115296138676,Evaluasi,Hindia
-1.2062728806702196,-0.6236522462183463,0.5521940967781954,-0.26587862763328046,Tanpa Cinta,Yovie & Nuno
-0.9865616793947874,-1.102178697737314,0.2699400756954003,0.013540115296138676,Janji Setia,Tiara Andini
-0.7810253943306731,0.23370764608647088,1.9400066513866672,0.013540115296138676,Sekuat Hatimu,Last Child
0.5868540200615344,-1.092209396664002,0.47512424420567406,0.013540115296138676,Komang,Raim Laode
0.8207401375482852,0.24866159769643864,1.3782746507365207,0.013540115296138676,,
-0.5825765673722179,0.8069424578019008,1.0309571566355011,0.29295885822555784,Bunny Girl,AKASAKI
